Screw_Configuration,Screw_speed,Liquid_binder,Liquid_content,Residence_time,Seed_coverage,number_seeded
LS,100,20,0.1,23.85381869,77.41411765,10
LS,300,20,0.1,9.102454285,57.16083333,12
LS,500,20,0.1,4.271346967,53.78666667,6
MS,100,20,0.05,30.66667589,10,1
MS,100,20,0.1,29.42376964,80.78,11
MS,100,20,0.15,29.49575325,84.73818182,11
MS,100,30,0.05,30.54363913,50.51,2
MS,100,30,0.1,29.09703407,55.3,11
MS,100,30,0.15,29.57768044,80.31111111,9
MS,100,40,0.05,28.19555264,51.48333333,3
MS,100,40,0.1,29.26252531,79.97157895,19
MS,100,40,0.15,28.97471689,88.58909091,12
MS,300,20,0.05,11.10307286,58.429,10
MS,300,20,0.1,10.49282292,77.66684211,19
MS,300,20,0.15,10.09317146,48.94461538,13
MS,300,30,0.05,11.78258312,35.1,1
MS,300,30,0.1,9.997868853,51.14076923,13
MS,300,30,0.15,9.955138181,52.16,11
MS,300,40,0.05,11.8372487,10,1
MS,300,40,0.1,10.1901491,69.44166667,12
MS,300,40,0.15,9.890766869,54.84576923,13
MS,500,20,0.05,7.042785428,10,1
MS,500,20,0.1,6.256883806,63.82083333,12
MS,500,20,0.15,6.237284806,65.34272727,11
MS,500,30,0.05,6.684579886,64.41333333,3
MS,500,30,0.1,6.107711986,66.51,9
MS,500,30,0.15,6.154988173,57.50555556,9
MS,500,40,0.05,6.157666587,10,1
MS,500,40,0.1,6.101478545,64.38222222,9
MS,500,40,0.15,5.644331493,65.205625,8
HSS,100,20,0.05,33.40179802,10,1
HSS,100,20,0.1,30.11688273,58.32384615,13
HSS,100,20,0.15,30.89319001,83.468,10
HSS,100,30,0.15,30.2605158,80.97,13
HSS,100,40,0.05,33.25773195,10,1
HSS,100,40,0.15,30.40521688,85.93555556,10
HSS,300,20,0.05,15.09450234,10,1
HSS,300,20,0.1,12.09303173,78.34458333,24
HSS,300,30,0.15,10.73553429,55.37461538,13
HSS,500,20,0.05,10.50092367,10,1
HSS,500,20,0.1,7.310129912,60.14,10
HSS,500,20,0.15,7.245832985,59.23666667,12
HSS,500,30,0.15,7.32037525,64.64125,8
HSS,500,40,0.05,10.23823632,10,1
HSS,500,40,0.15,7.242094967,54.57818182,11
HSL,100,20,0.1,30.96211919,81.623125,16
HSL,300,20,0.1,11.67886456,84.05842105,20
HSL,500,20,0.1,7.512002601,67.17375,16
